# M=32, N=16, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 21:58:59
#                       V#               S₀₋₅(n=1)#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)
     -1.420000000000E+00      1.816984315761E-01      1.026069574023E-01      7.907458291741E-02      6.834235504063E-02      6.200026160338E-02      5.760819894268E-02      5.425514546955E-02      5.153356437509E-02      4.923461267476E-02      4.723946059870E-02      3.138360328893E-01
     -1.410000000000E+00      1.794656697439E-01      1.008975178716E-01      7.771995664525E-02      6.719973848828E-02      6.099860857557E-02      5.670993182862E-02      5.343804159881E-02      5.078303898156E-02      4.854027413810E-02      4.659344909669E-02      3.117349481028E-01
     -1.400000000000E+00      1.772455594754E-01      9.920682371585E-02      7.638151466496E-02      6.607008297001E-02      6.000727272134E-02      5.581992996676E-02      5.262760548065E-02      5.003792259018E-02      4.785034249707E-02      4.595104076098E-02      3.096345410170E-01
     -1.390000000000E+00      1.750380396821E-01      9.753473386947E-02      7.505909672418E-02      6.495325884112E-02      5.902616181160E-02      5.493813097735E-02      5.182379511746E-02      4.929818573236E-02      4.716479505655E-02      4.531221570931E-02      3.075346780764E-01
     -1.380000000000E+00      1.728430559702E-01      9.588111117729E-02      7.375254691383E-02      6.384914120548E-02      5.805518843819E-02      5.406447731534E-02      5.102657342873E-02      4.856380400373E-02      4.648361435091E-02      4.467695942828E-02      3.054352328140E-01
     -1.370000000000E+00      1.706605601216E-01      9.424582200532E-02      7.246171331902E-02      6.275760954059E-02      5.709426961089E-02      5.319891585313E-02      5.023590783268E-02      4.783475765488E-02      4.580678775206E-02      4.404526240533E-02      3.033360853887E-01
     -1.360000000000E+00      1.684905096175E-01      9.262873589148E-02      7.118644770451E-02      6.167854735560E-02      5.614332638692E-02      5.234139749495E-02      4.945176985737E-02      4.711103120871E-02      4.513430710097E-02      4.341711978095E-02      3.012371221580E-01
     -1.350000000000E+00      1.663328672032E-01      9.102972523231E-02      6.992660523129E-02      6.061184187927E-02      5.520228353025E-02      5.149187682007E-02      4.867413477895E-02      4.639261310248E-02      4.446616836105E-02      4.279253101978E-02      2.991382352824E-01
     -1.340000000000E+00      1.641876004889E-01      8.944866500213E-02      6.868204420101E-02      5.955738377487E-02      5.427106919807E-02      5.065031175282E-02      4.790298128515E-02      4.567949535282E-02      4.380237129172E-02      4.217149959909E-02      2.970393223607E-01
     -1.330000000000E+00      1.620546815839E-01      8.788543250126E-02      6.745262582556E-02      5.851506687980E-02      5.334961465230E-02      4.981666325715E-02      4.713829116212E-02      4.497167324203E-02      4.314291914087E-02      4.155403271367E-02      2.949402860916E-01
     -1.320000000000E+00      1.599340867608E-01      8.633990713061E-02      6.623821401920E-02      5.748478796749E-02      5.243785399390E-02      4.899089505402E-02      4.638004900287E-02      4.426914502428E-02      4.248781835514E-02      4.094014099601E-02      2.928410339598E-01
     -1.310000000000E+00      1.578257961475E-01      8.481197018982E-02      6.503867521108E-02      5.646644652966E-02      5.153572391830E-02      4.817297335976E-02      4.562824193599E-02      4.357191165047E-02      4.183707830660E-02      4.032983825080E-02      2.907414779453E-01
     -1.300000000000E+00      1.557297934447E-01      8.330150469678E-02      6.385387817606E-02      5.545994457712E-02      5.064316349008E-02      4.736286664396E-02      4.488285937300E-02      4.287997651036E-02      4.119071103513E-02      3.972314120289E-02      2.886415342530E-01
     -1.290000000000E+00      1.536460656659E-01      8.180839522635E-02      6.268369388206E-02      5.446518645734E-02      4.976011393548E-02      4.656054540535E-02      4.414389277328E-02      4.219334519104E-02      4.054873100529E-02      3.912006925803E-02      2.865411230618E-01
     -1.280000000000E+00      1.515746028992E-01      8.033252776634E-02      6.152799535229E-02      5.348207868756E-02      4.888651845127E-02      4.576598196442E-02      4.341133542525E-02      4.151202525063E-02      3.991115487706E-02      3.852064427558E-02      2.844401682901E-01
     -1.270000000000E+00      1.495153980877E-01      7.887378958915E-02      6.038665754089E-02      5.251052980176E-02      4.802232202871E-02      4.497915027156E-02      4.268518224272E-02      4.083602600626E-02      3.927800128948E-02      3.792489035254E-02      2.823385973788E-01
     -1.260000000000E+00      1.474684468288E-01      7.743206913749E-02      5.925955722069E-02      5.155045021053E-02      4.716747129138E-02      4.420002572960E-02      4.196542957554E-02      4.016535833550E-02      3.864929065657E-02      3.733283361846E-02      2.802363410878E-01
     -1.250000000000E+00      1.454337471884E-01      7.600725592272E-02      5.814657288190E-02      5.060175207271E-02      4.632191434596E-02      4.342858502975E-02      4.125207503342E-02      3.950003449049E-02      3.802504497486E-02      3.674450204049E-02      2.781333333067E-01
     -1.240000000000E+00      1.434112995311E-01      7.459924043464E-02      5.704758464056E-02      4.966434917755E-02      4.548560064467E-02      4.266480599994E-02      4.054511732224E-02      3.884006792386E-02      3.740528764186E-02      3.615992523824E-02      2.760295108781E-01
     -1.230000000000E+00      1.414011063636E-01      7.320791406164E-02      5.596247415606E-02      4.873815683690E-02      4.465848085890E-02      4.190866746480E-02      3.984455609197E-02      3.818547312592E-02      3.679004328491E-02      3.557913430792E-02      2.739248134322E-01
     -1.220000000000E+00      1.394031721913E-01      7.183316902005E-02      5.489112455639E-02      4.782309178611E-02      4.384050676273E-02      4.116014911632E-02      3.915039179544E-02      3.753626547239E-02      3.617933759994E-02      3.500216165525E-02      2.718191832321E-01
     -1.210000000000E+00      1.374175033861E-01      7.047489829194E-02      5.383342037094E-02      4.691907209336E-02      4.303163112597E-02      4.041923139464E-02      3.846262555737E-02      3.689246108209E-02      3.557319719956E-02      3.442904083701E-02      2.697125650290E-01
     -1.200000000000E+00      1.354441080649E-01      6.913299557031E-02      5.278924746957E-02      4.602601707635E-02      4.223180761577E-02      3.968589537808E-02      3.778125905289E-02      3.625407668403E-02      3.497164947005E-02      3.385980641052E-02      2.676049059269E-01
     -1.190000000000E+00      1.334829959782E-01      6.780735521120E-02      5.175849300770E-02      4.514384722597E-02      4.144099070624E-02      3.896012268189E-02      3.710629439507E-02      3.562112949330E-02      3.437472243677E-02      3.329449379100E-02      2.654961552552E-01
     -1.180000000000E+00      1.315341784083E-01      6.649787219184E-02      5.074104537664E-02      4.427248413620E-02      4.065913559555E-02      3.824189536515E-02      3.643773403081E-02      3.499363709551E-02      3.378244463770E-02      3.273313911624E-02      2.633862644492E-01
     -1.170000000000E+00      1.295976680746E-01      6.520444207422E-02      4.973679415880E-02      4.341185043996E-02      3.988619812985E-02      3.753119584517E-02      3.577558064466E-02      3.437161733890E-02      3.319484500455E-02      3.217577911859E-02      2.612751869388E-01
     -1.160000000000E+00      1.276734790487E-01      6.392696097366E-02      4.874563008706E-02      4.256186975008E-02      3.912213473349E-02      3.682800681892E-02      3.511983706998E-02      3.375508823415E-02      3.261195275122E-02      3.162245100352E-02      2.591628780425E-01
     -1.150000000000E+00      1.257616266745E-01      6.266532553172E-02      4.776744500817E-02      4.172246660529E-02      3.836690234526E-02      3.613231119105E-02      3.447050620710E-02      3.314406786113E-02      3.203379726915E-02      3.107319233504E-02      2.570492948686E-01
     -1.140000000000E+00      1.238621274969E-01      6.141943289312E-02      4.680213184960E-02      4.089356642064E-02      3.762045835994E-02      3.544409200802E-02      3.382759094792E-02      3.253857428235E-02      3.146040802935E-02      3.052804092720E-02      2.549343962226E-01
     -1.130000000000E+00      1.219749991955E-01      6.018918068622E-02      4.584958458953E-02      4.007509544209E-02      3.688276057506E-02      3.476333239789E-02      3.319109410672E-02      3.193862546280E-02      3.089181449071E-02      2.998703474180E-02      2.528181425186E-01
     -1.120000000000E+00      1.201002605248E-01      5.897446700656E-02      4.490969822969E-02      3.926698070477E-02      3.615376714219E-02      3.409001551547E-02      3.256101835658E-02      3.134423919564E-02      3.032804601431E-02      2.945021179181E-02      2.507004956975E-01
     -1.110000000000E+00      1.182379312588E-01      5.777519040335E-02      4.398236877077E-02      3.846914999478E-02      3.543343652268E-02      3.342412449243E-02      3.193736617127E-02      3.075543303366E-02      2.976913178343E-02      2.891761005052E-02      2.485814191486E-01
     -1.100000000000E+00      1.163880321422E-01      5.659124986839E-02      4.306749319011E-02      3.768153181425E-02      3.472172744734E-02      3.276564239190E-02      3.132013977218E-02      3.017222422600E-02      2.921510072910E-02      2.838926736594E-02      2.464608776361E-01
     -1.090000000000E+00      1.145505848439E-01      5.542254482730E-02      4.216496942145E-02      3.690405534918E-02      3.401859887993E-02      3.211455216759E-02      3.070934107993E-02      2.959462965996E-02      2.866598146080E-02      2.786522138046E-02      2.443388372301E-01
     -1.080000000000E+00      1.127256119173E-01      5.426897513269E-02      4.127469633659E-02      3.613665044011E-02      3.332400998403E-02      3.147083662669E-02      3.010497167051E-02      2.902266580755E-02      2.812180220211E-02      2.734550945550E-02      2.422152652406E-01
     -1.070000000000E+00      1.109131367626E-01      5.313044105913E-02      4.039657372859E-02      3.537924755518E-02      3.263792009312E-02      3.083447839663E-02      2.950703273550E-02      2.845634867657E-02      2.758259073114E-02      2.683016860083E-02      2.400901301559E-01
     -1.060000000000E+00      1.091131835940E-01      5.200684329961E-02      3.953050229656E-02      3.463177776552E-02      3.196028868363E-02      3.020545989528E-02      2.891552504619E-02      2.789569376593E-02      2.704837432536E-02      2.631923540858E-02      2.379634015836E-01
     -1.050000000000E+00      1.073257774101E-01      5.089808296352E-02      3.867638363178E-02      3.389417272270E-02      3.129107535075E-02      2.958376330438E-02      2.833044892149E-02      2.734071602504E-02      2.651917971083E-02      2.581274599167E-02      2.358350501954E-01
     -1.040000000000E+00      1.055509439673E-01      4.980406157561E-02      3.783412020500E-02      3.316636463815E-02      3.063023978672E-02      2.896937054599E-02      2.775180419910E-02      2.679142981690E-02      2.599503301547E-02      2.531073592639E-02      2.337050476748E-01
     -1.030000000000E+00      1.037887097566E-01      4.872468107620E-02      3.700361535470E-02      3.244828626423E-02      2.997774176150E-02      2.836226326165E-02      2.717959020995E-02      2.624784888489E-02      2.547595972614E-02      2.481324019907E-02      2.315733666669E-01
     -1.020000000000E+00      1.020391019833E-01      4.765984382223E-02      3.618477327653E-02      3.173987087715E-02      2.933354110562E-02      2.776242279432E-02      2.661380575573E-02      2.570998632287E-02      2.496198464954E-02      2.432029315677E-02      2.294399807315E-01
     -1.010000000000E+00      1.003021485489E-01      4.660945258903E-02      3.537749901333E-02      3.104105226107E-02      2.869759769498E-02      2.716983017250E-02      2.605444908903E-02      2.517785454847E-02      2.445313187651E-02      2.383192846146E-02      2.273048642985E-01
