# M=22, N=11, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:48:41
#                       V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -1.680000000000E+00      2.406280929872E-01      1.504561161858E-01      1.175617471547E-01      1.007374616504E-01      9.018367359231E-02      8.265947856161E-02      7.684521863070E-02      7.211544732495E-02      6.813572067769E-02      6.470864276255E-02      3.659250157515E-01
     -1.670000000000E+00      2.379957036075E-01      1.481815636035E-01      1.157064399663E-01      9.918685989661E-02      8.885371075216E-02      8.149549714788E-02      7.581079658960E-02      7.118513053025E-02      6.729090531266E-02      6.393524040258E-02      3.637274909070E-01
     -1.660000000000E+00      2.353843689220E-01      1.459353059141E-01      1.138768205282E-01      9.765753489061E-02      8.754103949775E-02      8.034565836124E-02      7.478812934391E-02      7.026477426364E-02      6.645469567437E-02      6.316940827908E-02      3.615388295192E-01
     -1.650000000000E+00      2.327933746181E-01      1.437166441591E-01      1.120722099067E-01      9.614885966812E-02      8.624509281471E-02      7.920944718956E-02      7.377674200429E-02      6.935393371946E-02      6.562667025018E-02      6.241074418788E-02      3.593583963321E-01
     -1.640000000000E+00      2.302220702648E-01      1.415249364668E-01      1.102919809059E-01      9.466025644879E-02      8.496535085354E-02      7.808639361466E-02      7.277620230675E-02      6.845220422489E-02      6.480644511246E-02      6.165888096584E-02      3.571856042925E-01
     -1.630000000000E+00      2.276698628481E-01      1.393595917723E-01      1.085355524883E-01      9.319119155022E-02      8.370133621943E-02      7.697606825545E-02      7.178611661456E-02      6.755921759901E-02      6.399367061874E-02      6.091348350393E-02      3.550199099399E-01
     -1.620000000000E+00      2.251362110613E-01      1.372200643019E-01      1.068023848772E-01      9.174117090545E-02      8.245260980012E-02      7.587807849336E-02      7.080612635265E-02      6.667463890047E-02      6.318802846258E-02      6.017424607906E-02      3.528608093227E-01
     -1.610000000000E+00      2.226206202487E-01      1.351058487204E-01      1.050919752497E-01      9.030973610273E-02      8.121876706090E-02      7.479206501705E-02      6.983590481844E-02      6.579816351316E-02      6.238922902867E-02      5.944088996193E-02      3.507078343724E-01
     -1.600000000000E+00      2.201226379171E-01      1.330164758527E-01      1.034038539408E-01      8.889646087869E-02      7.999943474614E-02      7.371769873301E-02      6.887515432127E-02      6.492951452651E-02      6.159700901316E-02      5.871316126476E-02      3.485605496762E-01
     -1.590000000000E+00      2.176418497441E-01      1.309515089040E-01      1.017375810906E-01      8.750094800614E-02      7.879426793591E-02      7.265467799629E-02      6.792360360972E-02      6.406844037412E-02      6.081112927550E-02      5.799082899811E-02      3.464185495968E-01
     -1.580000000000E+00      2.151778760187E-01      1.289105401161E-01      1.000927436787E-01      8.612282652636E-02      7.760294741355E-02      7.160272612263E-02      6.698100555208E-02      6.321471269912E-02      6.003137289382E-02      5.727368331089E-02      3.442814556973E-01
     -1.570000000000E+00      2.127303684625E-01      1.268931878043E-01      9.846895289576E-02      8.476174928283E-02      7.642517730648E-02      7.056158914828E-02      6.604713504027E-02      6.236812441984E-02      5.925754339924E-02      5.656153389106E-02      3.421489144320E-01
     -1.560000000000E+00      2.102990073850E-01      1.248990937266E-01      9.686584181036E-02      8.341739071948E-02      7.526068296771E-02      6.953103380884E-02      6.512178709127E-02      6.152848797241E-02      5.848946316837E-02      5.585420850805E-02      3.400205950736E-01
     -1.550000000000E+00      2.078834991322E-01      1.229279207458E-01      9.528306329432E-02      8.208944491150E-02      7.410920906981E-02      6.851084571224E-02      6.420477512422E-02      6.069563371070E-02      5.772697195614E-02      5.515155168056E-02      3.378961878467E-01
     -1.540000000000E+00      2.054835737960E-01      1.209793507486E-01      9.372028817540E-02      8.077762380110E-02      7.297051788726E-02      6.750082768403E-02      6.329592939360E-02      5.986940844628E-02      5.696992555333E-02      5.445342345539E-02      3.357754022452E-01
